name,lat,lon,height
Mòruisg,57.4997070,-5.1706291,928.0
Maoile Lunndaidh,57.4646057,-5.1108081,1007.0
Sgurr a' Chaorachain,57.4525536,-5.1893210,1053.0
Sgùrr Choinnich,57.4510444,-5.2078843,999.0
Lurg Mhor,57.4130905,-5.2236546,986.0
Bidein a' Choire Sheasgaich,57.4198091,-5.2503147,945.0
Sgurr Fuar-thuill,57.4496714,-4.9418278,1048.0
Creag Ghorm a' Bhealaich,57.4477906,-4.9267839,1029.0
Sgùrr a' Choire Ghlais,57.4435136,-4.9026573,1083.0
Càrn nan Gobhar,57.4523118,-4.8799515,992.0
Càrn nan Gobhar,57.3633210,-5.0244447,992.0
An Riabhachan,57.3624340,-5.1047124,1129.0
An Socach,57.3502275,-5.1586027,1069.0
Toll Creagach,57.3091597,-4.9996048,1054.0
Tom a' Choinich,57.2995398,-5.0489592,1112.0
Beinn Fhionnlaidh,57.3060187,-5.1299537,1005.0
Mam Sodhail,57.2799654,-5.1210092,1181.0
Càrn Eige,57.2877134,-5.1151552,1183.0
Sgùrr nan Ceathreamhnan,57.2549265,-5.2227914,1151.0
An Socach,57.2575322,-5.1712947,921.0
Mullach na Dheiragain,57.2834020,-5.1863382,982.0
Beinn Sgritheall,57.1537644,-5.5796405,974.0
Beinn Fhada,57.2210094,-5.2835503,1032.0
A' Ghlas-bheinn,57.2551949,-5.3039473,918.0
Sgùrr Mòr,57.0283321,-5.3548089,1003.0
Creag Mèagaidh,56.9520202,-4.6020609,1128.0
Stob Poite Coire Ardair,56.9646817,-4.5836764,1054.0
Càrn Liath,56.9787879,-4.5153153,1006.0
Geal Chàrn,57.0575181,-4.3735446,926.0
Càrn Dearg,57.0922774,-4.2532734,945.0
Carn Sgulain,57.1243293,-4.1770213,918.0
A' Chailleach,57.1096034,-4.1794102,930.0
Carn na Caim,56.9117275,-4.1744938,941.0
A' Bhuidheanach Bheag,56.8704686,-4.1988872,936.0
Geal-charn,56.8744778,-4.3045125,917.0
A' Mharconaich,56.8576719,-4.2898715,975.0
Sgairneach Mhòr,56.8285485,-4.2976799,991.0
Beinn Udlamain,56.8355106,-4.3298994,1011.0
Meall Chuaich,56.9638804,-4.1125561,951.0
Schiehallion,56.6669296,-4.1003003,1083.0
Càrn Mairg,56.6346219,-4.1457221,1041.0
Meall na Aighean,56.6205643,-4.1287060,981.0
Meall Garbh,56.6374778,-4.2076273,968.0
Càrn Gorm,56.6225105,-4.2260469,1029.0
Meall Buidhe,56.6172527,-4.4485826,930.0
Stuchd an Lochain,56.5709447,-4.4706313,960.0
Meall Ghaordaidh,56.5258317,-4.4166752,1039.0
Aonach Eagach,56.5667883,-4.8707776,991.0
Unnamed,56.6794679,-5.0003858,924.0
Am Bodach,56.6777950,-4.9913941,943.0
Stob Coire nam Beith,56.6456418,-5.0368857,1107.0
Stob Coire nan Lochan,56.6488513,-5.0218112,1115.0
Stob Coire Sgreamhach,56.6383651,-5.0102594,1072.0
Bidean nam Bian,56.6427446,-5.0293346,1150.0
Beinn a' Chaorainn,57.0933285,-3.5775874,1082.0
Beinn Bhreac,57.0546982,-3.5543720,931.0
Càrn a' Mhàim,57.0368749,-3.6583870,1037.0
Beinn Mheadhoin,57.0959339,-3.6114760,1182.0
Derry Cairngorm,57.0627179,-3.6229171,1155.0
Beinn Dearg,56.8771670,-3.8834920,1008.0
Carn Liath,56.8077815,-3.7441007,975.0
Braigh Coire Chruinn-bhalgain,56.8311750,-3.7297152,1070.0
Càrn nan Gabhar,56.8398164,-3.6880561,1121.0
Càrn a' Chlamain,56.8609677,-3.7795988,963.0
An Sgarsoch,56.9319217,-3.7544005,1006.0
Càrn an Rìgh,56.8766246,-3.5952650,1029.0
Beinn Iutharn Mhòr,56.8949697,-3.5682547,1045.0
Glas Tulaichean,56.8658240,-3.5582405,1051.0
Càrn Bhac,56.9304958,-3.5608388,946.0
An Socach,56.9020207,-3.5125139,944.0
Càrn a' Gheòidh,56.8731034,-3.4666941,975.0
The Cairnwell,56.8795410,-3.4211586,933.0
Càrn Aosda,56.8957638,-3.4232155,917.0
Beinn a' Bhùird South Top,57.0698145,-3.4992586,1176.0
Cac Càrn Beag,56.9602412,-3.2452650,1156.0
Glas Maol,56.8730699,-3.3682798,1068.0
Creag Leacach,56.8546292,-3.3878001,987.0
Broad Cairn,56.9193161,-3.2486401,998.0
Cairn Bannoch,56.9275308,-3.2782165,1010.0
Càrn a' Choire Bhòidheach,56.9457433,-3.2727110,1110.0
Driesh,56.8480288,-3.1964929,946.0
Mayar,56.8489888,-3.2462829,928.0
Unnamed,56.3324117,-4.5993123,940.0
The Devil's Point,57.0357260,-3.6887134,1004.0
Monadh Mor,57.0268931,-3.7502575,1113.0
Beinn Bhrotain,57.0098569,-3.7237921,1157.0
Sgurr an Fhir Dhuibhe,57.5851087,-5.3777798,963.0
Sgùrr Bàn,57.5847055,-5.3895382,972.0
Sail Mhòr,57.5880107,-5.4512234,980.0
Carn Dearg,56.7599346,-4.5899198,941.0
Beinn na Lap,56.7893938,-4.6599843,935.0
Ben Starav,56.5389171,-5.0498001,1078.0
Blà Bheinn,57.2195711,-6.0931604,928.0
Unnamed,57.0947944,-3.4441546,1138.0
Cnap a'Chléirich,57.0911401,-3.4746354,1161.0
Unnamed,56.5408903,-4.6972699,1002.0
Ben Oss,56.3893211,-4.7754019,1029.0
Beinn Dubhchraig,56.3913389,-4.7432864,978.0
Sgurr Choinnich Beag,56.7967269,-4.9159966,959.0
Stob Coire Easain,56.8125506,-4.8933348,1078.0
Carn Ban Mor,57.0522721,-3.8255029,1052.0
Sgor Gaoith,57.0685891,-3.8109296,1118.0
Mullach Clach a'Bhlair,57.0119137,-3.8412449,1019.0
Bynack More,57.1378224,-3.5847763,1090.0
A'Choinneach,57.1236812,-3.6004925,1017.0
Meall Garbh,56.5105657,-4.7134427,994.0
Cairn Sasunnaich,56.5063502,-4.7231881,1063.0
Meall Buidhe,56.5578085,-4.6702770,981.0
Sgùrr nan Gillean,57.2482537,-6.1930475,964.0
Bruach na Frithe,57.2468705,-6.2107059,958.0
Am Basteir,57.2478270,-6.2024849,934.0
Sgurr a' Mhadaidh,57.2308710,-6.2318520,918.0
Sgurr a' Ghreadaidh,57.2272943,-6.2344318,973.0
Sgùrr na Banachdich,57.2209757,-6.2417132,965.0
The Inaccessible Pinnacle,57.2132750,-6.2347013,986.0
Sgùrr Mhic Choinnich,57.2090689,-6.2238877,948.0
Sgùrr Alasdair,57.2067026,-6.2237372,992.0
Sgùrr nan Eag,57.1957965,-6.2110262,924.0
Stob Garbh,56.3648042,-4.5736752,959.0
Stob Coire an Lochain,56.3651993,-4.5299284,1065.0
Meall na Dìge,56.3699532,-4.5097582,966.0
Sgùrr na Banachdich Central Top,57.2196795,-6.2405155,942.0
Unnamed,57.2195094,-6.0932012,919.0
Càrn an Tuirc,56.9081726,-3.3576721,1019.0
Cairn of Claise,56.8941816,-3.3386269,1064.0
Sgòr Gaibhre,56.7725874,-4.5464845,955.0
Sgòr Choinnich,56.7803835,-4.5491827,938.0
Unnamed,56.7484143,-4.9270976,1059.0
Sgor Eilde Beag,56.7451316,-4.9129251,956.0
Unnamed,56.2787362,-4.7560102,931.0
Stob an Fhuarain,56.6247503,-5.0690066,968.0
Meall Liath,56.6344697,-4.1322925,1012.0
Unnamed,56.6270826,-4.2436602,918.0
Creag na Caillich,56.5093011,-4.3369830,916.0
Beinn nan Eachan,56.5156758,-4.3255368,1000.0
Sgurr Tuill Bhain,57.6659986,-5.3235787,932.0
Unnamed,56.8251968,-4.6826762,925.0
Unnamed,56.8272956,-4.6906155,960.0
Meall Garbh,56.8201294,-4.6702227,975.0
Mullach Coire nan Nead,56.8256444,-4.5738460,922.0
Meall Glas Choire,56.8201459,-4.5628661,922.0
Sròn Coire na h-Iolaire,56.8017533,-4.4365599,956.0
Unnamed,56.4487294,-4.6195319,999.0
Sgor an Iubhair,56.7450138,-5.0019259,1001.0
Càrn Beag Dearg,56.8178443,-4.9973601,1006.0
Càrn Dearg,56.7859542,-5.0207509,1020.0
Bynack Beg,57.1423091,-3.5941170,964.0
Tom Buidhe,56.8936148,-3.2924093,957.0
Spidean a' Choire Leith,57.5642151,-5.4636172,1055.0
Mullach an Rathain,57.5609005,-5.4924941,1023.0
Sgùrr Dubh an Dà Bheinn,57.2039769,-6.2151925,938.0
Sgùrr Thearlaich,57.2065495,-6.2227431,967.0
Sgùrr a' Mhàim,56.7559529,-5.0035929,1099.0
Sgùrr Dearg,57.2139597,-6.2348365,977.0
Sgurr na Forcan,57.1619610,-5.4078030,961.0
Stob na Doire,56.6367864,-4.9242362,1010.0
Stob Coire Altruim,56.6344127,-4.9408032,941.0
Stob na Broige,56.6298267,-4.9512020,956.0
Beinn Bhuidhe,56.3266908,-4.9067779,948.0
Càrn an Fhidhleir,56.9358843,-3.8017043,994.0
Bidean an Eoin Deirg,57.4495288,-5.1621040,1048.0
Fafernie,56.9252623,-3.2907430,997.0
Sgùrr an Doire Leathain,57.1368867,-5.2815316,1010.0
Spidean Dhomhuill Bhric,57.1599530,-5.4376880,940.0
Sgùrr Leac nan Each,57.1632967,-5.4450351,918.0
Tom Dubh,57.0365026,-3.7801558,918.0
Carn Cloich-mhuilinn,56.9958284,-3.6993891,940.0
Diollaid a' Chairn,56.8488465,-4.4819670,922.0
Ben More,56.4248294,-6.0140400,966.0
Stob Coire Etchachan,57.0853601,-3.6107685,1082.0
Creagan a' Choire Etchachan,57.0767034,-3.6331408,1106.0
Unnamed,56.6358256,-4.2020475,963.0
Glas Meall Liath,57.8051340,-5.2368880,960.0
Sgurr Dubh,57.7040890,-5.2536436,918.0
Toman Còinnich,57.6939181,-5.1076408,935.0
Càrn nan Sac,56.8757909,-3.4466785,920.0
Màm nan Càrn,56.8841126,-3.5607830,982.0
Cairn of Gowal,56.9198853,-3.2699363,983.0
Unnamed,56.9234990,-3.2719402,991.0
Unnamed,57.0760211,-3.6663127,1293.0
Unnamed,57.0944473,-3.4860254,1155.0
Beinn a' Chaorainn Bheag,57.0964569,-3.5571940,1013.0
Leabaidh an Daimh Bhuidhe,57.0993391,-3.4344285,1171.0
Glas Leathad Beag,57.7005376,-4.5316287,928.0
Sgùrr nan Saighead,57.2060521,-5.3547155,929.0
Stob Coire a' Chairn,56.7507449,-4.9690336,981.0
Carn nam Fiaclan,57.4608844,-5.1296541,992.0
Sgurr Creag an Eich,57.8016927,-5.2737737,1017.0
Stobh Cadha Gobhlach,57.7910721,-5.2506198,960.0
Sail Liath,57.7903802,-5.2457852,954.0
Meall Gorm SE top,57.6777963,-4.9664278,922.0
Carn na Criche,57.7062680,-5.0290233,961.0
Sgurr na Ruaidhe,57.4415491,-4.8524614,993.0
A' Chioch,57.1873469,-5.1321458,943.0
Sgurr na Lapaich,57.2727777,-5.0631525,1036.0
Glas Mheall Mor,56.8650639,-4.1657776,925.0
Meall a' Chaorruinn,56.8712170,-4.2225860,915.0
Unnamed,56.8685751,-4.2087448,932.0
Sgùrr na Lapaich,57.3692815,-5.0600239,1150.0
Ben Vorlich,56.3426698,-4.2194664,985.0
Diollaid Coire Eindart,57.0125145,-3.8050464,974.0
Meall an t-Shaim,56.9793652,-4.5369017,969.0
Unnamed,56.9825535,-4.5005163,968.0
Beinn a' Chuirn,56.5316142,-4.6681730,920.0
Stob an Fhir Bhogha,56.4998660,-4.5830838,1029.0
Stob nan Clach,56.4809434,-4.6206228,956.0
Unnamed,56.6079010,-4.4447406,917.0
