station_name,station_lat,station_lon,munro_name,munro_lat,munro_lon,distance_km
Achnasheen,57.5793199,-5.0721994,Spidean a' Choire Leith,57.5642151,-5.4636172,23.48
Achnasheen,57.5793199,-5.0721994,Mullach an Rathain,57.5609005,-5.4924941,25.23
Achnasheen,57.5793199,-5.0721994,Bidean an Eoin Deirg,57.4495288,-5.1621040,15.43
Achnasheen,57.5793199,-5.0721994,Glas Meall Liath,57.8051340,-5.2368880,27.0
Achnasheen,57.5793199,-5.0721994,Sgurr Dubh,57.7040890,-5.2536436,17.62
Achnasheen,57.5793199,-5.0721994,Toman Còinnich,57.6939181,-5.1076408,12.94
Achnasheen,57.5793199,-5.0721994,Carn nam Fiaclan,57.4608844,-5.1296541,13.63
Achnasheen,57.5793199,-5.0721994,Sgurr Creag an Eich,57.8016927,-5.2737737,27.53
Achnasheen,57.5793199,-5.0721994,Stobh Cadha Gobhlach,57.7910721,-5.2506198,25.87
Achnasheen,57.5793199,-5.0721994,Sail Liath,57.7903802,-5.2457852,25.69
Achnasheen,57.5793199,-5.0721994,Meall Gorm SE top,57.6777963,-4.9664278,12.66
Achnasheen,57.5793199,-5.0721994,Carn na Criche,57.7062680,-5.0290233,14.37
Achnasheen,57.5793199,-5.0721994,Sgurr na Ruaidhe,57.4415491,-4.8524614,20.22
Achnasheen,57.5793199,-5.0721994,Sgùrr na Lapaich,57.3692815,-5.0600239,23.4
Achnasheen,57.5793199,-5.0721994,Unnamed,57.4597305,-5.1176945,13.59
Achnasheen,57.5793199,-5.0721994,Unnamed,57.3542643,-5.1219238,25.24
Achnasheen,57.5793199,-5.0721994,Unnamed,57.3565143,-5.0478569,24.86
Achnasheen,57.5793199,-5.0721994,Unnamed,57.3490825,-5.0638416,25.65
Achnasheen,57.5793199,-5.0721994,Sgùrr nan Clachan Geala,57.3603197,-5.0575837,24.41
Achnasheen,57.5793199,-5.0721994,Unnamed,57.4145776,-5.2115842,20.16
Achnasheen,57.5793199,-5.0721994,Unnamed,57.5888000,-5.3759196,18.2
Achnasheen,57.5793199,-5.0721994,Sgurr na Fearstaig,57.4491566,-4.9544932,16.12
Achnasheen,57.5793199,-5.0721994,Coinneach Mhor,57.5832141,-5.4391412,21.96
Stromeferry,57.3522003,-5.5507696,Sgurr an Lochain,57.1412342,-5.2975211,28.03
Stromeferry,57.3522003,-5.5507696,Creag nan Damh,57.1472943,-5.3350112,26.27
Stromeferry,57.3522003,-5.5507696,Sgùrr na Sgine,57.1471139,-5.3966556,24.66
Stromeferry,57.3522003,-5.5507696,The Saddle,57.1618833,-5.4168361,22.68
Stromeferry,57.3522003,-5.5507696,Sgùrr na Ciste Duibhe,57.1808993,-5.3369692,23.03
Stromeferry,57.3522003,-5.5507696,Sgùrr na Càrnach,57.1891053,-5.3492041,21.86
Stromeferry,57.3522003,-5.5507696,Sgùrr Fhuaran,57.1961624,-5.3477879,21.26
Stromeferry,57.3522003,-5.5507696,Sàileag,57.1811067,-5.2810334,25.06
Stromeferry,57.3522003,-5.5507696,Sgùrr a' Bhealaich Dheirg,57.1777734,-5.2521731,26.49
Stromeferry,57.3522003,-5.5507696,Aonach Meadhoin,57.1730626,-5.2291914,27.83
Stromeferry,57.3522003,-5.5507696,Ciste Dhubh,57.1993049,-5.2089319,26.74
Stromeferry,57.3522003,-5.5507696,Mullach Fraoch-choire,57.2054150,-5.1556206,28.9
Stromeferry,57.3522003,-5.5507696,Stob Coire na Cráileig,57.1975597,-5.1615208,29.12
Stromeferry,57.3522003,-5.5507696,Ruadh-stac Mòr,57.5937429,-5.4294363,27.87
Stromeferry,57.3522003,-5.5507696,Spidean Coire nan Clach,57.5821600,-5.4036409,27.09
Stromeferry,57.3522003,-5.5507696,Sgùrr Mòr,57.5908139,-5.5728028,26.61
Stromeferry,57.3522003,-5.5507696,Tom na Gruagaich,57.5805250,-5.5819472,25.5
Stromeferry,57.3522003,-5.5507696,Sgorr Ruadh,57.4986653,-5.4078179,18.43
Stromeferry,57.3522003,-5.5507696,Beinn Liath Mhòr,57.5120656,-5.4006515,19.96
Stromeferry,57.3522003,-5.5507696,Maol Chean-dearg,57.4918824,-5.4655696,16.38
Stromeferry,57.3522003,-5.5507696,Mòruisg,57.4997070,-5.1706291,28.13
Stromeferry,57.3522003,-5.5507696,Maoile Lunndaidh,57.4646057,-5.1108081,29.26
Stromeferry,57.3522003,-5.5507696,Sgurr a' Chaorachain,57.4525536,-5.1893210,24.43
